見る、診る	check - looky look	みます
ひじょうに<br>非常に<br>adv	very,extremely,exceedingly, exceptionally
びっくりする<br><br>vs	to be surprised
ひっこす<br>引っ越す<br>u-v	to move,to change residence not 移る
ひつよう<br>必要<br>adj-na,n	necessary,essential
酷い (ひどい<br><br>adj	cruel,awful
ひらく<br>開く<br>u-v	to open (eg. a festival)
ビル<br><br>n	(abbr) building,bill
ひるま<br>昼間<br>n-adv,n-t	daytime,during the day
ひるやすみ<br>昼休み<br>n-adv,n-t	lunch break,noon recess,noon rest period
ひろう<br>拾う<br>u-v	to pick up,to find,to gather not atsumeru
ファックス<br><br>ru-v,vi	fax
ふえる<br>増える<br>ru-v,vi	to increase,to multiply
ふかい<br>深い<br>adj	deep,profound,thick not 濃い
ふくざつ<br>複雑<br>adj-na,n	complexity,complication
ふくしゅう<br>復習<br>n,vs	review,revision
ぶちょう<br>部長<br>adjn	head of a section
ふつう<br>普通<br>adj-na,adj-no,adv,n	(1) generally,ordinarily,usually,(2) train that stops at every station
ぶどう<br><br>n	grapes
ふとる<br>太る<br>u-v	to grow fat (stout, plump),to become fat
ふとん<br>布団<br>n	bedding (Japanese style),futon
ふね<br>舟<br>n	ship,boat
ふべん<br>不便<br>adj-na,n	inconvenience
ふむ<br>踏む<br>u-v	to step on,to tread on
プレゼント<br><br>n	present,gift
ぶんか<br>文化<br>n	culture,civilization
ぶんがく<br>文学<br>n	literature (study)
ぶんぽう<br>文法<br>n	grammar
べつ<br>別<br>adj-na,n,n-suf	separate, another
ベル<br><br>n	bell
へん<br>変<br>adj-na,n	strange,odd,peculiar
へんじ<br>返事<br>n,vs	reply,answer not kotae
ぼうえき<br>貿易<br>n	trade (foreign)
ほうそう・する<br>放送<br>n,vs	broadcast,broadcasting
ほうりつ<br>法律<br>n	law
ぼく<br>僕<br>n	(male) I,manservant
ほし<br>星<br>n	star
ほど<br><br>n	degree,extent
ほとんど<br><br>n-adv,n-t	mostly,almost not daibu or zentaiteki (hiragana)
ほめる<br><br>ru-v	to praise
ほんやく<br>翻訳<br>n,vs	translation (written)
まいる<br>参る<br>u-v	(1) (hum) to go,to come
まける<br>負ける<br>ru-v	to lose,to be defeated
まじめ<br><br>adj-na,n	diligent,serious
まず<br><br>adv	first (of all),to start with not saisho or hajimeni
または<br><br>conj,exp	or,otherwise
まちがえる<br>間違える<br>ru-v	to err,to make a mistake
まにあう<br>間に合う<br>u-v	(1) to be in time for
～まま<br><br>n	as it is
まわり<br>周り<br>n,n-suf	surroundings,circulation not kairan
まわる<br>回る<br>u-v	to go around,to revolve
まんが<br>漫画<br>n	comic,cartoon
まんなか<br>真中<br>n	middle,centre
みえる<br>見える<br>ru-v	to be seen,to be in sight
みずうみ<br>湖<br>n	lake
みそ<br>味噌<br>n	miso,bean paste
みつかる<br>見つかる<br>u-v	(uk) to be found,to be discovered
みつける<br>見つける<br>ru-v	to discover,to find not hakken
みな<br>皆<br>adv,n	everyone,everybody
みなと<br>港<br>n	harbour,port
むかえる<br>迎える<br>u-v	to go out to meet
むかう<br>向かう<br>u-v	to face,to go towards
むかし<br>昔<br>adj-no,n-adv,n-t	olden days,former
むし<br>虫<br>n	insect
むすこ<br>息子<br>n	(hum) son
むすめ<br>娘<br>n	(hum) daughter
むり<br>無理<br>adj-na,n,vs	unreasonable,impossible
～め<br>～目<br>suf	number ～ sequence,～nd/th not ban
めしあがる<br>召し上がる<br>u-v	(pol) to eat
めずらしい<br>珍しい<br>adj	unusual,rare
もうしあげる<br>申し上げる<br>ru-v	to say,to tell multikanji
もうす<br>申す<br>u-v	(hum) to be called,to say
もうすぐ<br><br>expr	soon, very soon
もし<br><br>adv	if
もちろん<br><br>adv	certainly,of course
もっとも<br><br>adv	most,extremely
もどる<br>戻る<br>u-v	to turn back,to return not kaeru
もめん<br>木綿<br>n	cotton
もらう<br><br>u-v	to receive not ukeru or itadaku
もり<br>森<br>n	forest
やく<br>焼く<br>u-v	to bake,to grill
やくにたつ<br>役に立つ<br>u-v	to be helpful,to be useful - not sewa or tetsudau or tasukaru
やくそく<br>約束<br>n,vs	arrangement,promise
やける<br>焼ける<br>ru-v,vi	to burn,to be roasted,to be sunburnt
やさしい<br>優しい<br>adj	kind,gentle not 親切
～やすい<br><br>	easy to do ～
やせる<br><br>ru-v	to become thin,to lose weight
やっと<br><br>adv	at last,at length
やはり/やっぱり<br><br>adv,exp	as I thought,absolutely not naruhodo
やむ<br><br>u-v,vi	to cease,to stop intrans not 止まる
やめる<br>止める<br>ru-v	to end,to stop,to resign - not akirameru trans.
やる<br><br>u-v	(col)to do
やわらかい<br>柔らかい<br>adj	soft,tender
ゆ<br>湯<br>n	hot water
ゆうはん<br>夕飯<br>n	evening meal not bangohan
ゆしゅつ・する<br>輸出<br>n,vs	export
ゆにゅう・する<br>輸入<br>n,vs	import
ゆび<br>指<br>n	finger
ゆびわ<br>指輪<br>n	(finger) ring
ゆめ<br>夢<br>n	dream
ゆれる<br>揺れる<br>ru-v	to shake,to sway not 振る
よう<br>様<br>adj-na	(in this) way,manner,kind not かた or ふ
よう<br>用<br>n,n-suf	task,business,use - one kanji
ようい<br>用意<br>n,vs	preparation not junbi or shitaku
ようじ<br>用事<br>n	tasks,chores
よごれる<br>汚れる<br>ru-v	to get dirty,to become dirty
よしゅう<br>予習<br>n,vs	preparation for a lesson
よてい<br>予定<br>n,vs	plans,arrangement,schedule not keikaku or sekkei
よやく<br>予約<br>n,vs	reservation,booking
よる<br>寄る<br>u-v	to visit,to drop in
（～に）よると<br><br>	according to ～
よろこぶ<br>喜ぶ<br>v5b	to be delighted,to be glad not ureshii or shiawase
よろしい<br><br>adj	(hon) good,OK,all right
りゆう<br>理由<br>n	reason,pretext,motive
りよう<br>利用<br>n,vs	use,utilization not you
りょうほう<br>両方<br>n	both sides,both parties
りょかん<br>旅館<br>n	Japanese hotel,inn
るす<br>留守<br>n	absence,being away from home
れいぼう<br>冷房<br>n	cooling,air conditioning
れきし<br>歴史<br>n	history
レジ<br><br>n	register
レポート/リポート<br><br>n	report,essay,assignment (aus)
れんらく<br>連絡<br>n,vs	communication,contact,connection
ワープロ<br><br>n	word processor
わかす<br>沸かす<br>u-v,vt	to boil,to heat
わかれる<br>別れる<br>ru-v	to be divided,to part from,to separate
わく<br>沸く<br>u-v	to boil,to grow hot,to get excited
わけ<br>訳<br>n	meaning,reason (1 kanji)
わすれもの<br>忘れ物<br>n	lost article,something forgotten
わらう<br>笑う<br>u-v	to laugh,to smile
わりあい<br>割合<br>adv,n	rate,ratio,percentage
われる<br>割れる<br>ru-v,vi	to break (glass intrans.)
あう<br>会う<br>u-v	to meet,to see
あお<br>青<br>n	blue
あおい<br>青い<br>adj	blue
あか<br>赤<br>n	red
あかい<br>赤い<br>adj	red
あかるい<br>明るい<br>adj	bright,cheerful
あき<br>秋<br>n-adv	autumn,fall
あく<br>開く<br>u-v,vi	to open,to become open
あける<br>開ける<br>ru-v	to open trans
あげる<br>上げる<br>ru-v	to give
あさ<br>朝<br>n-adv,n-t	morning
あさごはん<br>朝御飯<br>n	breakfast
あさって<br><br>n-adv,n-t	day after tomorrow
あし<br>足<br>n	foot,leg
あした<br><br>n-t	tomorrow
あそこ<br><br>n	there,over there,that place
あそぶ<br>遊ぶ<br>u-v	to play,to enjoy oneself
あたたかい<br>暖かい<br>adj	warm,mild
あたま<br>頭<br>n	head
あたらしい<br>新しい<br>adj	new
あちら<br><br>n	there,yonder,that not mukou
あつい<br>暑い<br>adj	hot,warm, sultry - not atatakai
あつい<br>熱い<br>adj	hot (thing)
あつい<br>厚い<br>adj	kind,warm(hearted),thick,deep
あっち<br><br>n col	over there
あと<br>後<br>adj-no,n	afterwards,since then,in the future, not これから
あなた<br><br>n	you
あに<br>兄<br>n	(hum) older brother
あね<br>姉<br>n	(hum) older sister
あの<br><br>pren-adj	that over there
あの<br><br>int	um...
アパート<br><br>n,adv	apartment (abbr)
浴びるーあびる<br><br>ru-v	to bathe,to shower
あぶない<br>危ない<br>adj	dangerous,critical,watch out!
あまい<br>甘い<br>adj,expr	generous,sweet
あまり<br><br>na-adj,adv,n,n-suf	not very,not much
あめ<br>雨<br>n	rain
あめ<br />飴<br />n	(hard) candy,toffee
あらう<br>洗う<br>u-v	to wash
ある [存在]<br><br>u-v-i	to be
ある [所有]<br><br>u-v-i	to have
あるく<br>歩く<br>u-v	to walk
あれ<br><br>int,n	that,that thing
いい/よい<br><br>adj	good
いいえ<br><br>int,n	no,not at all
いう<br>言う<br>u-v	to say
いえ<br>家<br>suf	house,family
いかが<br><br>na-adj,adv,n	how,in what way
いく/ゆく<br>行く<br>u-v	to go
いくつ<br><br>n	how many?,how old?
いくら<br><br>adv,n	how much?,how many? not ikutsu
いけ<br>池<br>n	pond
いしゃ<br>医者<br>n	doctor (medical)
椅子ーいす<br><br>n	chair
いそがしい<br>忙しい<br>adj	busy,irritated
いたい<br>痛い<br>adj	painful
いち<br>一<br>num	one
いちにち<br>一日<br>n	1 day (duration)
いちばん<br><br>n-adv	best,first,number one
いつ<br><br>gn-adv	when
いつか<br>五日<br>n	five days,the fifth day (of the month)
いっしょ<br>一緒<br>adv,n	together
いつつ<br>五つ<br>n	five
いつも<br><br>adv,n	always,every time not zutto
いぬ<br>犬<br>	dog
いま<br>今<br>	now
いみ<br>意味<br>n,vs	meaning
いもうと<br>妹<br>n	younger sister
いや<br>嫌<br>na-adj,n	disagreeable,no
いりぐち<br>入口<br>n	entrance,gate not mon
おる<br>居る<br>u-v	(hum) to be (animate),to exist
いる<br>要る<br>u-v	to need
いれる<br>入れる<br>ru-v	to put in
いろ<br>色<br>n	colour
いろいろ<br><br>na-adj,adj-no,adv,n	various
うえ<br>上<br>no-adj,n-adv,n,n-suf	above,on top of
うしろ<br>後ろ<br>n	behind,rear not ura
うすい<br>薄い<br>adj	thin,weak
うた<br>歌<br>n	song
うたう<br>歌う<br>u-v	to sing
うまれる<br>生まれる<br>ru-v	to be born
うみ<br>海<br>n	sea,beach not kaigan
うる<br>売る<br>u-v	to sell trans.
うるさい<br><br>adj	noisy,loud,annoying
うわぎ<br>上着<br>n	coat,jacket
え<br>絵<br>n,n-suf	picture,drawing,painting,sketch
えいが<br>映画<br>n	movie,film
えいがかん<br>映画館<br>n	movie theatre (theater),cinema
えいご<br>英語<br>n	the English language
ええ<br><br>conj,int,n	yes
えき<br>駅<br>n	station
エレベーター<br><br>n	elevator
～えん<br>～円<br>n	yen (currency)
えんぴつ<br>鉛筆<br>n	pencil
お～<br><br>prefix	honourable ～ (honorific)
美味しいーおいしい<br><br>adj	delicious,tasty not umai
おおい<br>多い<br>adj	many
おおきい<br>大きい<br>adj	big
おおきな<br>大きな<br>na-adj	big
おおぜい<br>大勢<br>n	great number of people
おかあさん<br>お母さん<br>n	(hon) mother
おかし<br>お菓子<br>n	confections,sweets,candy
おかね<br>お金<br>n	money
おきる<br>起きる<br>ru-v	to get up,to rise out of bed
おく<br>置く<br>u-v	to put,to place
おくさん<br>奥さん<br>n	(hon) wife
おさけ<br>お酒<br>n	alcohol,sake (rice wine)
おさら<br>お皿<br>n	plate,dish
おじ・さん<br>伯父/叔父・さん<br>n	uncle,middle aged man
おじいさん<br><br>n	grandfather,male senior citizen not sofu
おしえる<br>教える<br>ru-v	to teach,to inform
おす<br>押す<br>u-v,vt	to push,to press
おそい<br>遅い<br>adj	late,slow
おちゃ<br>お茶<br>n	tea (green)
おてあらい<br>お手洗い<br>	toilet,lavatory,bathroom
おとうさん<br>お父さん<br>n	(hon) father
おとうと<br>弟<br>n	younger brother
おとこ<br>男<br>n	man
おとこのこ<br>男の子<br>n	boy
おととい<br><br>n-adv,n-t	day before yesterday
おととし<br><br>n-adv,n-t	year before last
おとな<br>大人<br>n	adult
おなか<br><br>n	stomach
おなじ<br>同じ<br>na-adj,n	same,identical,similar
おにいさん<br>お兄さん<br>n	(hon) older brother
おねえさん<br>お姉さん<br>n	(hon) older sister
おばさん<br>伯母さん/叔母さん<br>n	aunt
おばあさん<br><br>n	grandmother,female senior-citizen
おふろ<br>お風呂<br>n	bath
おべんとう<br>お弁当<br>n	boxed lunch
おぼえる<br>覚える<br>ru-v	to remember,to memorize
おまわりさん<br><br>n	policeman (friendly term)
おもい<br>重い<br>adj	heavy
おもしろい<br><br>adj	interesting,amusing
およぐ<br>泳ぐ<br>u-v	to swim
おりる<br>降りる<br>ru-v	to alight (eg from bus),to get off
おわる<br>終る<br>u-v	to finish,to close not sumu intrans.
おんがく<br>音楽<br>n	music
おんな<br>女<br>n	woman,girl,daughter
おんなのこ<br>女の子<br>n	girl
～かい<br>～回<br>n	counter for occurrences not do
～かい<br>～階<br>n	counter for storeys of a building
がいこく<br>外国<br>n	foreign country
がいこくじん<br>外国人<br>n	foreigner
かいしゃ<br>会社<br>n	company,corporation
かいだん<br>階段<br>n	stairs
かいもの<br>買い物<br>n	shopping
かう<br>買う<br>u-v	to buy
かえす<br>返す<br>u-v,vt	to return something
かえる<br>帰る<br>u-v	to go home,to return
かお<br>顔<br>n	face (person)
かかる<br><br>u-v,vi	to take (eg time, money)
鍵ーかぎ<br><br>n	key/s
かく<br>書く<br>u-v	to write
がくせい<br>学生<br>n	student
～かげつ<br>～か月<br>suf	(number of) months
眼鏡を掛ける	to put on (eg glasses)
かさ<br>傘<br>n	umbrella
かす<br>貸す<br>u-v	to lend
かぜ<br>風<br>n	wind,breeze
かぜ<br>風邪<br>n	cold,illness
かた<br>方<br>n	person
かぞく<br>家族<br>n	family
かたかな<br>片仮名<br>n	katakana
～がつ<br>～月<br>suf	month of year
がっこう<br>学校<br>n	school
カップ<br><br>n	cup
かてい<br>家庭<br>n	home,household not kazoku
かど<br>角<br>n	corner (e.g. desk) not sumi
鞄ーかばん<br><br>n	bag,basket not fukuro
かびん<br>花瓶<br>n	(flower) vase
被るーかぶる<br><br>u-v	to wear,to put on (head)
かみ<br>紙<br>n	paper
カメラ<br><br>n	camera
かようび<br>火曜日<br>n-adv,n	Tuesday
からい<br>辛い<br>adj	spicy,salty
からだ<br>体<br>n	body
かりる<br>借りる<br>ru-v	to borrow,to have a loan
～がる<br><br>suf	(make people) feel
かるい<br>軽い<br>adj	light,non-serious,minor
カレー<br><br>n	curry
カレンダー<br><br>n	calendar
かわ<br>川/河<br>n	river
～がわ<br>側<br>n-suf	～ side
かわいい<br><br>adj	cute,charming
かんじ<br>漢字<br>n	kanji,Chinese character
き<br>木<br>n	tree,wood
きいろ<br>黄色<br>n	yellow
きいろい<br>黄色い<br>adj	yellow
きえる<br>消える<br>ru-v	to go out (light),to vanish
きく<br>聞く<br>u-v	to hear,to listen,to ask
きた<br>北<br>	north
ギター<br><br>n	guitar
きたない<br>汚い<br>adj	dirty,messy
きっさてん<br>喫茶店<br>n	coffee lounge
きって<br>切手<br>n	stamp (eg. postage)
きっぷ<br>切符<br>n	ticket
きのう<br>昨日<br>n-adv,n-t	yesterday
きゅう<br>九<br>num	nine
ぎゅうにく<br>牛肉<br>n	beef
ぎゅうにゅう<br>牛乳<br>n	milk
きょう<br>今日<br>n-t	today,this day
きょうしつ<br>教室<br>n	classroom
きょうだい<br>兄弟<br>n	siblings (brothers and sisters)
きょねん<br>去年<br>n-adv,n-t	last year
きらい<br>嫌い<br>na-adj,n	dislike,hate
きる<br>切る<br>suf,u-v	to cut,to chop
きる<br>着る<br>ru-v	to wear,to put on (from shoulders down)
綺麗ーきれい<br><br>na-adj	pretty,clean,nice,tidy
キロ/キログラム<br><br>n,pref	kilo (kilogram)
キロ/キロメートル<br><br>n,pref	kilo (kilometre)
ぎんこう<br>銀行<br>n	bank
きんようび<br>金曜日<br>n-adv,n	Friday
く<br>九<br>number	nine
くすり<br>薬<br>n	medicine
ください<br><br>kana only	(with te-form verb) please do for me
くだもの<br>果物<br>n	fruit
くち<br>口<br>n	mouth,orifice,opening
くつ<br>靴<br>n	shoes,footwear
くつした<br>靴下<br>n	socks
くに<br>国<br>n	country
くもり<br>曇り<br>adv	cloudiness,cloudy weather
くもる<br>曇る<br>u-v	to become cloudy,to become dim
くらい<br>暗い<br>adj	dark,gloomy
～くらい/ぐらい<br><br>suf	approximate (quantity)
クラス<br><br>n	class
グラム<br><br>n	gram
くる<br>来る<br>vk	to come
くるま<br>車<br>n	car,vehicle
くろ<br>黒<br>n	black
くろい<br>黒い<br>adj	black
けいかん<br>警官<br>n	policeman
けさ<br>今朝<br>n-temp	this morning
けす<br>消す<br>u-v	to erase,to delete,to turn off power not kiru
けっこう<br>結構<br>na-adj,n-adv,n	nice,enough
けっこん（する）<br>結婚<br>adj-no,n,vs	marriage
げつようび<br>月曜日<br>n-adv,n	Monday
げんき<br>元気<br>na-adj,n	health not kenkou
～こ<br>～個<br>n,suf	counter for small items
ご<br>五<br>num	five
～ご<br>～語<br>n,n-suf	word,language not kotoba
こうえん<br>公園<br>n	(public) park
こうさてん<br>交差点<br>n	intersection
こうちゃ<br>紅茶<br>n	black tea
こうばん<br>交番<br>n	police box
こえ<br>声<br>n	voice
コート<br><br>n	coat
コーヒー<br><br>n	coffee
ここ<br><br>n	here,this place
ごご<br>午後<br>n-adv,n-t	afternoon,P.M.
ここのか<br>九日<br>	nine days,the ninth day (of the month)
ここのつ<br>九つ<br>n	nine
ごぜん<br>午前<br>n-adv,n-t	morning,A.M.
こたえる<br>答える<br>ru-v	to answer,to reply
こちら<br><br>n	this eg person, way
コップ<br><br>n	cup
ことし<br>今年<br>n-adv,n-t	this year
ことば<br>言葉<br>n	word
こども<br>子供<br>n	child,children
この<br><br>adj-pn,int	this
ごはん<br>御飯<br>n	rice (cooked),meal
コピー・する<br><br>n,p-suru	to copy
こまる<br>困る<br>u-v	to be worried,to be bothered not 心配 する
これ<br><br>int,n	this
～ころ/～ごろ<br><br>n-suf	about,approximately (time)
こんげつ<br>今月<br>n-adv,n-t	this month
こんしゅう<br>今週<br>n-adv,n-t	this week
こんな<br><br>na-adj,adj-pn,adv,n	such,like this
こんばん<br>今晩<br>n-adv,n-t	tonight,this evening
さあ<br><br>conj,int	come now, well
～さい<br>～歳<br>suf	～years-old
さいふ<br>財布<br>n	wallet
さかな<br>魚<br>n	fish
さき<br>先<br>adj-no,n,n-suf,pref	the future,former,previous
さく<br>咲く<br>u-v	to bloom
さくぶん<br>作文<br>n	composition,writing not bunshou
さす<br>差す<br>u-v	to raise (stretch out) hands,to raise (eg umbrella)
～さつ<br>～冊<br>n	counter for books
ざっし<br>雑誌<br>n	magazine
さとう<br>砂糖<br>n	sugar
さむい<br>寒い<br>adj	cold (e.g. weather)
さらいねん<br>さ来年<br>n-adv,n-t	year after next
～さん<br><br>suf	Mr or Mrs
さん<br>三<br>num	three
さんぽ（する）<br>散歩<br>n,vs	walk,stroll
し<br>四<br>num	four
～じ<br>～時<br>suf	time (～ O'clock)
しお<br>塩<br>n	salt
しかし<br><br>conj	however,but
じかん<br>時間<br>n-adv,n	time
～じかん<br>～時間<br>suf	～hours
しごと<br>仕事<br>adj-no,n	work,occupation,employment
じしょ<br>辞書<br>n	dictionary not jibiki or jiten
しずか<br>静か<br>na-adj	quiet,peaceful
した<br>下<br>n	under,below,beneath
しち<br>七<br>num	seven
しつもん<br>質問<br>n,vs	question,inquiry
じてんしゃ<br>自転車<br>n	bicycle
じどうしゃ<br>自動車<br>n	automobile
しぬ<br>死ぬ<br>v5n	to die
じびき<br>字引<br>n	dictionary not jiten or jishou
じぶん<br>自分<br>n	myself,oneself
しまる<br>閉まる<br>u-v,vi	to close,to be closed
しめる<br>閉める<br>ru-v,vt	to close,to shut trans.
しめる<br>締める<br>ru-v	to tie,to fasten
じゃ/じゃあ<br><br>conj,int	well,well then
しゃしん<br>写真<br>n	photograph
シャツ<br><br>n	shirt,singlet
シャワー<br><br>n	shower
じゅう<br>十<br>num	ten
～じゅう<br>～中<br>suf	during,while
～しゅうかん<br>～週間<br>suf	～weeks
じゅぎょう<br>授業<br>n,vs	lesson,class work
しゅくだい<br>宿題<br>n	homework
じょうず<br>上手<br>na-adj,n	skill,skillful,dexterity not gijutsu
じょうぶ<br>丈夫<br>na-adj,n	strong,solid,durable
しょうゆ<br><br>n	soy sauce
しょくどう<br>食堂<br>n	cafeteria,dining hall
しる<br>知る<br>u-v	to know,to understand
しろ<br>白<br>n	white
しろい<br>白い<br>adj	white
～にん<br>～人<br>n,suf	counter for people
しんぶん<br>新聞<br>n	newspaper
すいようび<br>水曜日<br>n-adv,n	Wednesday
すう<br>吸う<br>u-v	to smoke,to breathe in,to suck
スカート<br><br>n	skirt
すき<br>好き<br>na-adj,n	liking,fondness,love
～すぎ<br><br>suf	to exceed,～ too much
すくない<br>少ない<br>adj	a few,scarce
すぐ・に<br><br>adv	immediately,instantly
すこし<br>少し<br>adv,n	little,few
すずしい<br>涼しい<br>adj	cool,refreshing
～ずつ<br><br>suf	at a time,gradually
ストーブ<br><br>n	heater (lit: stove)
スプーン<br /><br />n	spoon
スポーツ<br><br>n	sport
ズボン<br><br>n	trousers (fr: jupon)
すむ<br>住む<br>u-v	to reside,to live in
スリッパ<br><br>n	slippers
する<br><br>vs-i	to do,to try
すわる<br>座る<br>u-v	to sit
せい<br>背<br>n	height,stature
せいと<br>生徒<br>n	pupil
セーター<br><br>n	sweater,jumper
せっけん<br>石鹸<br>n	soap
せびろ<br>背広<br>n	business suit
せまい<br>狭い<br>adj	narrow,confined,small
ゼロ<br><br>n	zero
せん<br>千<br>	thousand,many
せんげつ<br>先月<br>n-adv,n-t	last month
せんしゅう<br>先週<br>n-adv,n-t	last week,the week before
せんせい<br>先生<br>n	teacher,master,doctor
せんたく<br>洗濯<br>n,vs	washing,laundry
ぜんぶ<br>全部<br>n-adv,n-t	all,entire,whole
そう/そうです<br><br>	appears,to be the case
そうじ（する）<br>掃除<br>n,vs	cleaning,sweeping
そうして/そして<br><br>conj	and,like that
そこ<br><br>n	that place,there
そちら<br><br>n	over there by you, not mukou
そっち<br><br>n	over there
そと<br>外<br>n	outside, exterior not omote
その<br><br>adj-pn	that
側 (そば<br><br>n	near,close,beside, side
そら<br>空<br>n	sky
それ<br><br>n	it,that
それから	and then,after that
それでは<br><br>exp	in that situation,well then...
～だい<br>～台<br>suf	counter for vehicles/machines
だいがく<br>大学<br>n	university
たいしかん<br>大使館<br>n	embassy
だいじょうぶ<br>大丈夫<br>na-adj,adv,n	safe,all right,O.K.
だいすき<br>大好き<br>na-adj,n	very likeable,like very much
たいせつ<br>大切<br>na-adj,n	important
だいどころ<br>台所<br>n	kitchen
たいへん<br><br>na-adj,adv,n	very
たかい<br>高い<br>adj	tall,high
～だけ<br><br>prt	only ～,just ～
たくさん<br><br>na-adj,adv,n	many,a lot,much
タクシー<br><br>n	taxi
だす<br>出す<br>u-v	to put out,to send
～たち<br><br>n-suf	plural suffix
たつ<br>立つ<br>u-v	to stand
縦 - たて<br><br>n	length,height
たてもの<br>建物<br>n	building not biru
たのしい<br>楽しい<br>adj	enjoyable,fun
たのむ<br>頼む<br>u-v	to request,to ask
たばこ<br><br>n	tobacco,cigarettes
たぶん<br><br>adv,n	perhaps,probably
たべもの<br>食べ物<br>n	food
たべる<br>食べる<br>ru-v	to eat
たまご<br>卵<br>n	egg(s)
だれ<br>誰<br>n	who
だれか<br>誰か<br>n	someone,somebody
たんじょうび<br>誕生日<br>n	birthday
だんだん<br><br>adv,n	gradually,by degrees not どんどん
ちいさい<br>小さい<br>adj	small,little
ちいさな<br>小さな<br>na-adj	small,little
ちかい<br>近い<br>adj,suf	near,close by,short
ちがう<br>違う<br>u-v	to differ (from)
ちかく<br>近く<br>n-adv,n	near
ちかてつ<br>地下鉄<br>n	underground train,subway
ちず<br>地図<br>n	map
ちち<br>父<br>n	(one's own) father
ちゃいろ<br>茶色<br>n	brown
ちゃわん<br><br>n	rice bowl
～ちゅう<br>～中<br>suf	during,while ～ing
ちょうど<br><br>gn	just,right,exactly
ちょっと<br><br>adv,int	a little,somewhat
ついたち<br>一日<br>n	for one day,first of month
つかう<br>使う<br>u-v	to use
つかれる<br>疲れる<br>ru-v	to get tired,to tire
つぎ<br>次<br>n	next
つく<br>着く<br>u-v	to arrive at,to reach
つくえ<br>机<br>n	desk
つくる<br>作る<br>u-v	to make,to create
点けるーつける<br><br>ru-v,vt	to turn on (eg a light)
つとめる<br>勤める<br>ru-v	to serve,to work (for)
詰まらない<br>つまらない<br><br>adj	insignificant,boring
つめたい<br>冷たい<br>adj	cold (to the touch not weather)
つよい<br>強い<br>adj	strong,powerful
て<br>手<br>n	hand
テープ<br><br>n	tape
テープレコーダー<br><br>n	tape recorder
テーブル<br><br>n	table
でかける<br>出かける<br>ru-v	to depart,to go out not 出る or 出発する
てがみ<br>手紙<br>n	letter (for posting)
でぐち<br>出口<br>n	exit
テスト<br><br>n,vs	test
では<br><br>expr	with that...
デパート<br><br>n	department store
でも<br><br>conj,prt	but,however
でる<br>出る<br>ru-v	to appear,to leave
テレビ<br><br>n	television,TV
てんき<br>天気<br>n	weather
でんき<br>電気<br>n	electricity,(electric) light
でんしゃ<br>電車<br>n	electric train
でんわ<br>電話<br>n,vs	telephone
と<br>戸<br>n	door (Japanese style)
～ど<br>～度<br>n-suf	counter for occurrences
ドア<br><br>n	door (Western style)
トイレ<br><br>n	toilet
どう<br><br>adv	how,in what way
どうして<br><br>adv,int	why?,for what reason
どうぞ<br><br>adv	please,kindly,by all means
どうぶつ<br>動物<br>n	animal
どうも<br><br>adv,int	thanks,very
とお<br>十<br>num	ten
とおい<br>遠い<br>adj	far,distant
とおか<br>十日<br>	ten days,the tenth (day of the month)
～とき<br>～時<br>adv,n	at the time of ～
ときどき<br>時々<br>adv,n	sometimes
とけい<br>時計<br>n	watch,clock
どこ<br><br>n	where,what place
ところ<br>所<br>n	place not basho
とし<br>年<br>n	year,age
としょかん<br>図書館<br>n	library
どちら<br><br>n	which,which way
どっち<br><br>n	which one,which way
とても<br><br>adv	very
どなた<br><br>n	who - polite
となり<br>隣<br>n	next to,next door to, neighbouring
どの<br><br>pren-adj	which not dore or dochira
とぶ<br>飛ぶ<br>u-v	to fly,to hop
とまる<br>止まる<br>u-v	to come to a halt
ともだち<br>友達<br>n	friend
どようび<br>土曜日<br>n-adv,n	Saturday
とり<br>鳥<br>n	bird
とりにく<br>とり肉<br>n	chicken meat
とる<br>取る<br>u-v	to take
とる<br>撮る<br>u-v	to take (a photo)
どれ<br><br>n	which (of three or more)
どんな<br><br>na-adj,adj-pn,n	what,what kind of
ない<br><br>adj	there isn't,doesn't have
ナイフ<br><br>n	knife
なか<br>中<br>n	inside,middle,among
ながい<br>長い<br>adj	long
～ながら<br><br>prt	while ~ing,during,although
なく<br>鳴く<br>u-v	to sing (bird),to make sound (animal)
なくす<br>無くす<br>u-v	to lose something not 失う
なぜ<br><br>adv	why
なつ<br>夏<br>n-adv,n-t	summer
なつやすみ<br>夏休み<br>n	summer vacation,summer holiday
～など<br><br>n,n-suf,prt	et cetera
ななつ<br>七つ<br>n	seven
なん/なに<br>何<br>int,n	what
なのか<br>七日<br>n-adv	seven days,the seventh day (of the month)
なまえ<br>名前<br>n	name
ならう<br>習う<br>u-v	to learn
ならぶ<br>並ぶ<br>u-v,vi	to line up,to stand in a line
ならべる<br>並べる<br>ru-v,vt	to line up,to set up
なる<br><br>u-v	to become
なん～<br>何～<br>	what sort of ～
に<br>二<br>num	two
にぎやか<br><br>na-adj,n	bustling,busy
にく<br>肉<br>n	meat
にし<br>西<br>n	west
～にち<br>～日<br>	～ day of the month,for ～ days
にちようび<br>日曜日<br>n-adv,n	Sunday
にもつ<br>荷物<br>n	luggage
ニュース<br><br>n	news
にわ<br>庭<br>n	garden
～にん<br>～人<br>	counter for people
ぬぐ<br>脱ぐ<br>u-v	to take off clothes
