見る、診る	check - looky look	みます
小さな～	small ~	ちいさな
小学校	elementary school	しょうがっこう
中学校	junior high school (middle school)	ちゅうがっこう
駅前	the area in front of the station	えきまえ
海岸	seaside, seashore	かいがん
嘘	lie, fib	うそ
書類	document, papers, paperwork	しょるい
電源	power switch	でんげん
～製	made in ~ (country name)	せい
(あ、)いけない	oops!, "oh no!" (used when one has made a mistake)	
お先に	excuse me for ~ before (used when performing an action before someone and acknowledging that it could potentially be rude to do so- often used　together with しつれします)	おさきに
回覧	circular, sending around	かいらん
研究室	study room, professor's office, research office, laboratory	けんきゅうしつ
きちんと	neatly, tidily not ちゃんと	
整理する	to put things in order, tidy up not katazukeru	せいり
～という本	the named ~	ほん
～冊	the counter suffix for books	さつ
判子	seal stamp	はんこ
{～を}押す	to affix (a seal etc), push, press	おす
答える	to answer (a question)	こたえる
(～が)倒れる	fall down, collapse (a building, etc) not 壊れる	たおれる
(～が)焼ける	burn down (a house), bake, roast, grill intrans.	やける
(～を)通る	to pass (along a street, etc)	とおる
死ぬ	to die	しぬ
びっくりする	to be surprised	
がっかりする	to be disappointed	
安心する	to be relieved	あんしんする
遅刻する	to be late, to come late jukugo	ちこくする
早退する	to leave earlier than usual (work, school, etc)	そうたいする
けんかする	quarrel, fight	
離婚する	to divorce	りこんする
複雑(な)	complicated, complex	ふくざつ
邪魔(な)	obstructive, in the way, intereference	じゃま
汚い	dirty	きたない
うれしい	glad, happy	
悲しい	sad	かなしい
恥ずかしい	embarrased, ashamed	はずかしい
地震	earthquake	じしん
台風	typhoon	たいふう
火事	fire	かじ
事故	accident	じこ
(お)見合い	interview with prospective marriage partner	みあい
電話代	telephone charge	でんわだい
～代	~charge/fee not ryoukin e.g. 電話	だい
フロント	front desk, reception desk	
～号室	room number ~	ごうしつ
汗	sweat, perspiration	あせ
タオル	towel	
せっけん	soap	
大勢	a great number of people	おおぜい
お疲れ様でした	thank you for all the hard work (usually used with people on equal or subordinate social level)	おつかれさまでした
伺う	to go, come (humble equivalent of いく）	うかがう
途中で	on the way, in the middle of	とちゅう
トラック	truck, lorry	
ぶつかる	to bump, collide with	
並ぶ	to line up, stand in a queue intrans	ならぶ
数える	to count	かぞえる
量る・測る	to measure, weigh	はかる
確かめる	to confirm, make sure	たしかめる
(～が)合う	~ fits (clothes size, etc)	あう
出発する	to depart	しゅっぱつする
到着する	to arrive jukugo	とうちゃく
酔う	to get drunk, intoxicated	よう
危険(な)	dangerous jukugo	きけん
必要(な)	necessary, required	ひつよう
宇宙	space, universe	うちゅう
地球	earth	ちきゅう
忘年会	year-end party	ぼうねんかい
新年会	New Year's party	しんねんかい
二次会	second party (afterparty)	にじかい
マラソン	marathon, race	
コンテスト	contest	
表	face, front	おもて
裏	back (side)	うら
返事	reply not kotae	へんじ
申し込み	application	もうしこみ
本当	truth, fact not 実 or 実際	ほんとう
まちがい	mistake	
傷	defect, wound, scratch	きず
ズボン	trousers	
長さ	length	ながさ
重さ	weight	おもさ
